Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Myanmar Language Teacher,"Minn Tun Trading Co.,Ltd","Education, Teaching, Childcare",Yangon,Benefits: Free transportation,Highlights:You can make a difference,Career Opportunities: Opportunities for promotion,22 Feb 2024,https://www.jobnet.com.mm/job/myanmar-language-teacher-minn-tun-trading-co-ltd/96343,13
HR & Admin Manager,Pristine Group,"HR, Training and Recruitment",Yangon,Benefits: - Meal or Travel Allowence - Rewards for over performance,Highlights:Join a winning team,Career Opportunities: - Training provided - Learn new skills on the job - Promotion Opportunities - Management Potential,22 Feb 2024,https://www.jobnet.com.mm/job/hr-and-admin-manager-pristine-group/96342,13
Sales Operations Admin (for Staff Level),Beyond Group of Companies,"Sales, Business Development",Yangon,Benefits: Yearly Bonus Reward for over performance Uniforms Ferry Provided,Highlights:Good Working environment International Standards Make a Difference Join and experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,22 Feb 2024,https://www.jobnet.com.mm/job/sales-operations-admin-for-staff-level-beyond-group-of-companies/94057,14
Assistant Sales Manager,Beyond Group of Companies,"Sales, Business Development",Yangon,Benefits: Yearly Bonus Reward for over performance Uniforms,Highlights:Good Working environment International Standards Make a Difference Join and experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,22 Feb 2024,https://www.jobnet.com.mm/job/assistant-sales-manager-beyond-group-of-companies/95593,14
"Head, Credit Control And Recovery (Credit Risk)",KBZ Bank,"Legal, Risk and Compliance",Yangon,Benefits: -Bonus -Ferry Provide,Highlights:International Standard,Career Opportunities: Management Potential,22 Feb 2024,https://www.jobnet.com.mm/job/head-credit-control-and-recovery-credit-risk-kbz-bank/96341,14
Senior Fullstack Developer,Exera Myanmar,"IT Hardware, Software",Yangon,Benefits: - Remote Working Environment - Reward over performance,Highlights:- Fun Working Experiences  - International Standard,Career Opportunities: - Learn new skills on job,22 Feb 2024,https://www.jobnet.com.mm/job/senior-fullstack-developer-exera-myanmar/96340,14
Sales Supervisor,Beyond Group of Companies,"Sales, Business Development",Yangon,Benefits: Yearly Bonus Reward for over performance Uniform,Highlights:Good Working environment International Standards Make a Difference Join and experienced team,Career Opportunities: Learn new skills on the job Promotion opportunities,22 Feb 2024,https://www.jobnet.com.mm/job/sales-supervisor-beyond-group-of-companies/95197,14
General Manager,"Cho Cho Co., Ltd.",Administrative,Yangon,"Benefits: Leave Bonus, Annual Bonus, Meal provide, Ferry provide.","Highlights:Fun Working environment, Join an experienced team, Make a difference.","Career Opportunities: Training provided, Learn new skills on the job.",22 Feb 2024,https://www.jobnet.com.mm/job/general-manager-cho-cho-co-ltd/94590,14
Digital Marketing Manager,"Cho Cho Co., Ltd.","Marketing, Media, Creative",Yangon,"Benefits: Leave bonus, Annual bonus, Meal allowance, Ferry provides, Health care.","Highlights:Fun working environment, Make a difference.","Career Opportunities: Training provided, Learn new skill on the job. Management potential.",22 Feb 2024,https://www.jobnet.com.mm/job/digital-marketing-manager-cho-cho-co-ltd/95078,14
Marketing Staff,Parami Hospital,"Marketing, Media, Creative",Yangon,Benefits: Monthly KPI target achievement allowance Annual leave refund if entitled Leave benefits according to the labor law Medical benefits upon permanent,Highlights:International Standard,Career Opportunities: Training provided,22 Feb 2024,https://www.jobnet.com.mm/job/marketing-staff-parami-hospital/95681,14
Engineering Assistant Manager,PRIME AUTOMOTIVE,"Engineering, Technical, HSE",Yangon,Benefits: -,Highlights:Join an experienced team,Career Opportunities: Promotion Opportunity,22 Feb 2024,https://www.jobnet.com.mm/job/engineering-assistant-manager-prime-automotive/96339,14
Human Resource Manager,KMA Group of companies,"HR, Training and Recruitment",Yangon,Benefits: Reward for over performance,Highlights:Join a winning team,Career Opportunities: Learn new skills on the job Career development,22 Feb 2024,https://www.jobnet.com.mm/job/human-resource-manager-kma-group-of-companies/84865,14
Accountant,DKT Myanmar,"Finance, Accounting, Audit",Yangon,Benefits: Bonus,"Highlights:We are on the lookout not just for talent, but also for friends and partners for the long term.",Career Opportunities: Learn new skills on the job,22 Feb 2024,https://www.jobnet.com.mm/job/accountant-dkt-myanmar/96338,14
Marketing Manager,Ever Glory Company Limited,"Marketing, Media, Creative",Yangon,Benefits: Bonus   Incentive  Meal & Travel Allowance  Reward for over performance (At least per year),Highlights:Fun Working Environment  International Standards  Make a difference  Join an experienced team,Career Opportunities: Training Provided  Learn new skills on the job  Management Potential,22 Feb 2024,https://www.jobnet.com.mm/job/marketing-manager-ever-glory-company-limited/95710,14
Technical Sales Representative -Food,"Chemico Myanmar Co., Ltd","Sales, Business Development",Yangon,Benefits: - SSB support - Medical allowance - Health insurance - 13th month salary bonus - Medical check up per year - Phone bill allowance,Highlights:Technical service and support Application service 24 hrs. samples and goods delivery Well-trained sales staffs Customer relationship Achieve samp,Career Opportunities: - Training aboard & local - Learn new trending product - Management potential - Travelling to other country for training & exhibition,22 Feb 2024,https://www.jobnet.com.mm/job/technical-sales-representative-food-chemico-myanmar-co-ltd/95713,14
Marketing Executive,PRIME AUTOMOTIVE,"Marketing, Media, Creative",Yangon,Benefits: Competitive salary and benefits package Opportunities for career growth and development Dynamic and collaborative work environment,Highlights:Make a difference.,Career Opportunities: Training Provided Learn new skills on the job Promotion opportunities Management potential,22 Feb 2024,https://www.jobnet.com.mm/job/marketing-executive-prime-automotive/95409,14
(Sr.) Finance Manager,DKT Myanmar,"Finance, Accounting, Audit",Yangon,Benefits: Yearly Bonus,"Highlights:We are on the lookout not just for talent, but also for friends and partners for the long term.",Career Opportunities: Learn new skills on the job front.,22 Feb 2024,https://www.jobnet.com.mm/job/sr-finance-manager-dkt-myanmar/96336,14
Assistant Merchandising Manager,DKT Myanmar,"Sales, Business Development",Yangon,Benefits: Bonus,"Highlights:We are on the lookout not just for talent, but also for friends and partners for the long term.",Career Opportunities: Management Potential and Learn new skills on the job front.,22 Feb 2024,https://www.jobnet.com.mm/job/assistant-merchandising-manager-dkt-myanmar/96333,14
Contact Center Engineer,KBZ Bank,"IT Hardware, Software",Yangon,Benefits: Quarterly Bonus Ferry Provided Health Insurance,Highlights:International Standards,Career Opportunities: Learn new skill on job,22 Feb 2024,https://www.jobnet.com.mm/job/contact-center-engineer-kbz-bank/96332,14
Modern Trade Manager,DKT Myanmar,"Sales, Business Development",Yangon,Benefits: Bonus,"Highlights:We are on the lookout not just for talent, but also for friends and partners for the long term.",Career Opportunities: Management Potential and Learn new skills on the job front.,22 Feb 2024,https://www.jobnet.com.mm/job/modern-trade-manager-dkt-myanmar/96330,14
Associate (Business Development),Systematic Business Solution,Research and Development,Yangon,Benefits: Year-end bonus			 Annual increment,Highlights:Opportunity to attend and learn the internal and external training providers by company at foreign and local facilities.,Career Opportunities: Opportunities to learn new skills and technology Promotion will be giving base on KPI.,22 Feb 2024,https://www.jobnet.com.mm/job/associate-business-development-systematic-business-solution/96328,14
HR & Admin Supervisor (Kyaiklat),International FMCG Company,"HR, Training and Recruitment",Ayeyawady  Division,Benefits: Bonus Travel allowance Phone Allowance,Highlights:Bonus Travel allowance Phone Allowance,Career Opportunities: Bonus Travel allowance Phone Allowance,22 Feb 2024,https://www.jobnet.com.mm/job/hr-and-admin-supervisor-kyaiklat-international-fmcg-company/93967,14
Treasury Manager,Grand Royal Group International,"Finance, Accounting, Audit",Yangon,Benefits: Bonus,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,22 Feb 2024,https://www.jobnet.com.mm/job/treasury-manager-grand-royal-group-international/96327,14
HR Executive (Myaung Da Gar Industrial Zone),Industry Leading Company,"HR, Training and Recruitment",Yangon,Benefits: Reward for over performance,Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,22 Feb 2024,https://www.jobnet.com.mm/job/hr-executive-myaung-da-gar-industrial-zone/96326,14
HR Executive,Myanmar Kaido,"HR, Training and Recruitment",Yangon,Benefits: -,Highlights:-,Career Opportunities: -Training Provided  -Learn new skills on the job -Management Potential,22 Feb 2024,https://www.jobnet.com.mm/job/hr-executive-myanmar-kaido/96324,14
Auditor (Male 2 Posts),"EAC Services Co., Ltd","Finance, Accounting, Audit",Yangon,Benefits: Ferry Provides,Highlights:Fun working Environment,Career Opportunities: Promotion,22 Feb 2024,https://www.jobnet.com.mm/job/auditor-male-2-posts-eac-services-co-ltd/95321,14
Admin Executive,RG Express,Administrative,Yangon,Benefits: Sunday & Public Holiday Off,Highlights:Sunday & Public Holiday Off,Career Opportunities: Training Provied Learn new Skill on Job Pormotion Opp Management Potential,22 Feb 2024,https://www.jobnet.com.mm/job/admin-executive-rg-express/96322,14
Devices Engineer (CCC Section),KBZ Bank,"IT Hardware, Software",Yangon,Benefits: - Bonus + Uniform,Highlights:- Fun Working Environment,Career Opportunities: - Learn new skills and techniques,22 Feb 2024,https://www.jobnet.com.mm/job/devices-engineer-ccc-section-kbz-bank/96321,14
Business Analyst (Transaction Banking),KBZ Bank,"IT Hardware, Software",Yangon,"Benefits: Quarterly Bonus  Sat,Sun and Public Holidays",Highlights:Join an difference team,Career Opportunities: Opportunities for promotion,22 Feb 2024,https://www.jobnet.com.mm/job/business-analyst-transaction-banking-kbz-bank/87746,14
Sous Chef/ Thai Chef,PRIME AUTOMOTIVE,Food and Beverage,Yangon,Benefits: Incentive,Highlights:Join an experienced team.,Career Opportunities: Management Potential,22 Feb 2024,https://www.jobnet.com.mm/job/sous-chef-thai-chef-prime-automotive/94603,14
Sales Consultant-prefer from Automotive industry,PRIME AUTOMOTIVE,"Sales, Business Development",Yangon,Benefits: Sales Commission +++ Other Allowance +++,Highlights:-,Career Opportunities: Learn new skills on the jobs. Promotion opportunities Training provided,22 Feb 2024,https://www.jobnet.com.mm/job/sales-consultant-prefer-from-automotive-industry-prime-automotive/94341,14
Operations Planning Lead,"A Insurance Co., Ltd.","Project, Operations Management",Yangon,Benefits: Yearly Bonus Ferry Provide Overtime Payment Reward for over performance  Yearly salary increment,Highlights:Open office culture Internaltional Standard Join an experienced team,Career Opportunities: Training Provided Management Potential Promotion Opportunities,22 Feb 2024,https://www.jobnet.com.mm/job/operations-planning-lead-a-insurance-co-ltd/84305,14
Sales Manager,"True & Co Co., Ltd.","Sales, Business Development",Yangon,"Benefits: Sat, Sun - OFF Days Ferry Provided",Highlights:Fun Work environment,Career Opportunities: Promotion Opportunity,22 Feb 2024,https://www.jobnet.com.mm/job/sales-manager-true-and-co-co-ltd/96319,15
Sales Surveyor (Yangon),Javelin Services Ltd(AEQUITAS Holding)),"Sales, Business Development",Yangon,Benefits: • Work for an International company • Develop your skills to international standards,Highlights:Work as part of a tight-knit international team of professionals,Career Opportunities: • Training provided • Work closely with sales team + Head of Sales • Develop your Sales skills • Travel opportunities,22 Feb 2024,https://www.jobnet.com.mm/job/sales-surveyor-yangon-javelin-services-ltdaequitas-holding/94317,15
Training Officer (HRD- Supervisor),Capital Taiyo Life Insurance,"HR, Training and Recruitment",Yangon,"Benefits: Basic Salary + Ferry Allowance Mon to Fri (8:30 AM to 5:00 PM) Sat & Sun, Public Holiday (Off)",Highlights:You can make a difference,Career Opportunities: Learn new skills and techniques,22 Feb 2024,https://www.jobnet.com.mm/job/training-officer-hrd-supervisor-capital-taiyo-life-insurance/95903,15
𝐌𝐨𝐭𝐢𝐨𝐧 𝐆𝐫𝐚𝐩𝐡𝐢𝐜 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫,Blue Sky Visionary,"Marketing, Media, Creative",Yangon,"Benefits: -Sat, Sun & Public holidays off  - Phone bill provided",Highlights:- Join an experienced team,Career Opportunities: - Learn new skills on the job,21 Feb 2024,https://www.jobnet.com.mm/job/𝐌𝐨𝐭𝐢𝐨𝐧-𝐆𝐫𝐚𝐩𝐡𝐢𝐜-𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫-blue-sky-visionary/96316,15
Audit Manager,Super Seven Stars,"Finance, Accounting, Audit",Yangon,"Benefits: Sat, Sunday and Public Holiday Transportation Allowance (or) Ferry Provide",Highlights:You can make a difference,Career Opportunities: Possibility for job training,21 Feb 2024,https://www.jobnet.com.mm/job/audit-manager-super-seven-stars/96315,15
Machine Operator (FEMALE),Colgate-Palmolive (Myanmar) Ltd.,"Engineering, Technical, HSE",Yangon,Benefits: - Fixed bonus - Other allowances - Transportation arrangement if out of Shwe Pyi Thar,Highlights:- International standards,Career Opportunities: - learning opportunities,21 Feb 2024,https://www.jobnet.com.mm/job/machine-operator-female-colgate-palmolive-myanmar-ltd/96314,15
Data Analyst,Dauntless Discovery International,"IT Hardware, Software",Yangon,Benefits: Private Health Insurance + Flexi Working Hours + Leave Benefits + OT Incentives,"Highlights:- 30-40 hrs per week & OT(x2 pay), Weekly Pay Range 100,000 MMK to 150,000 MMK - Great Flexibility- Fun Working Environment - Lots of Trainings",Career Opportunities: - Training Provided - Career Progression and Opportunity to become a Project Manager,21 Feb 2024,https://www.jobnet.com.mm/job/data-analyst-dauntless-discovery-international/96313,15
Finance Officer,Phee Group Of Companies,"Finance, Accounting, Audit",Yangon,Benefits: * Performance Bonus,Highlights:* International Standards * Make a difference * Join an experienced team,Career Opportunities: * Training provided * Learn new skills on the job * Promotion opportunity,21 Feb 2024,https://www.jobnet.com.mm/job/finance-officer-phee-group-of-companies/96311,15
Supervisor (Branding),Capital Taiyo Life Insurance,"Marketing, Media, Creative",Yangon,Benefits: Basic Salary + Ferry Allowance,"Highlights:Off days- Sat, Sun and Public Holidays. Office Hours: 8:30 AM to 5:00 PM Email Address: hrrecruitment@capitaltaiyolife.com Viber Phone: 09954433071",Career Opportunities: Learn new skills and techniques,21 Feb 2024,https://www.jobnet.com.mm/job/supervisor-branding-capital-taiyo-life-insurance/95936,15
Sales & Marketing Assistant Officer,Edulink Myanmar,"Marketing, Media, Creative",Yangon,Benefits: * Bonus+Commision * Rewards for overperformance,Highlights:* Fun working environment * International Standards * Make a difference * Join an experienced team,Career Opportunities: * Training provided * Learn new skills on the job * Promotion opportunities * Management potential,21 Feb 2024,https://www.jobnet.com.mm/job/sales-and-marketing-assistant-officer-edulink-myanmar/96307,15
Senior Fiber Engineer,VCC Myanmar Company,"Engineering, Technical, HSE",Yangon,Benefits: -,Highlights:-,Career Opportunities: -,21 Feb 2024,https://www.jobnet.com.mm/job/senior-fiber-engineer-vcc-myanmar-company/95432,15
Warehouse Staff,VCC Myanmar Company,"Logistics, Warehousing, Port",Yangon,Benefits: အလုပ်ချိန် - မနက် 8:00/ ညနေ 5:00 နားရက် - တစ်လ နှစ်ရက်,Highlights:-,Career Opportunities: -,21 Feb 2024,https://www.jobnet.com.mm/job/warehouse-staff-vcc-myanmar-company/95434,15
Architect (Level 1-2),Unfold Design Collective,"Architecture, Design",Yangon,Benefits: Bonus + allowance Paid sick leave Grant for skill-training,Highlights:Informal studio workspace Flexible & result-based Creativity-driven & inclusive workflow,Career Opportunities: Skill development Potential promotion based on annual performance review,21 Feb 2024,https://www.jobnet.com.mm/job/architect-level-1-2-unfold-design-collective/95478,15
Enterprise & Digital Solution Architect Manager,Ooredoo Myanmar,"IT Hardware, Software",Yangon,Benefits: Meal Allowance  Ooredoo Myanmar Family Mobile Plan  Medical & Life Insurance Travel Allowances  Annual Bonus,Highlights:An Awesome Company with 5 star office facilities  You can make a difference through our CSR Program,Career Opportunities: Ongoing Training and Development Learning new skills,21 Feb 2024,https://www.jobnet.com.mm/job/enterprise-and-digital-solution-architect-manager-ooredoo-myanmar/96305,15
"Assistant Manager, Statutory Reporting",ATOM,"Finance, Accounting, Audit",Yangon,Benefits: - Airtime Usage - Medical Insurance Coverage  - Bonus Entitlement,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,21 Feb 2024,https://www.jobnet.com.mm/job/assistant-manager-statutory-reporting-atom/94755,15
Medical Product Specialist - Myeik,Servier (S) Pte. Ltd (Myanmar Branch),"Medical, Nursing, Pharmacy",Taninthayi  Division,Benefits: Performance base incentives and other remunerations.,Highlights:An awesome company,Career Opportunities: Opportunities for promotion,21 Feb 2024,https://www.jobnet.com.mm/job/medical-product-specialist-myeik-servier-s-pte-ltd-myanmar-branch/86937,15
Admin Assistant,Quantum HR,Administrative,Yangon,"Benefits: • Health Insurance, Life Insurance • Corporate mobile Package",Highlights:• Monday to Friday & Alternate Saturdays • Bahan Office and Thilawa Factory (Alternate Days),Career Opportunities: • International Company • Working with regional team directly • Be a part of multinational team,21 Feb 2024,https://www.jobnet.com.mm/job/admin-assistant-quantum-hr/96304,15
Secretary,J DONUTS Production,"PR, Communications",Yangon,Benefits: Attractive Salary & Incentive Lunch and Ferry will be provided,Highlights:Fun Working Environment,Career Opportunities: Learn new Skills on the job Promotion opportunities Management potential,21 Feb 2024,https://www.jobnet.com.mm/job/secretary-j-donuts-production/96303,15
