Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Talent Developer / Sales Trainer (Pathein),Dai-ichi Life Insurance Myanmar Ltd.,"HR, Training and Recruitment",Ayeyawady  Division.,Benefits: Rewards on performance,Highlights:An awesome company,Career Opportunities: Learn new skills and techniques,11 Feb 2025,https://www.jobnet.com.mm/job/talent-developer-sales-trainer-pathein-dai-ichi-life-insurance-myanmar-ltd/109048,1
Dot Net Core Team Lead,"Pahtama Group Co.,Ltd","IT Hardware, Software",Yangon.,Benefits: * Bonus * Ferry Provided,Highlights:* International Standard,Career Opportunities: * Training Provided,11 Feb 2025,https://www.jobnet.com.mm/job/dot-net-core-team-lead-pahtama-group-co-ltd/109369,1
Customer Service Staff,Parami Hospital,"Customer Service, Support",Yangon.,Benefits: -Annual bonus -Monthly KPI incentives(upto 20% of basic salary) -Living allowance -Transportation ( nearest bus stop) -Medical benefits as perRule,Highlights:International standards (ISO 9001-2015) -Fun working environments -CSR and Birthdays,Career Opportunities: Training privided -Learn new skills  -Excellent career map,11 Feb 2025,https://www.jobnet.com.mm/job/customer-service-staff-parami-hospital/110703,1
Sr. HR Staff,Parami Hospital,"HR, Training and Recruitment",Yangon.,Benefits: -Annual bonus -Monthly KPI incentives(upto 20% of basic salary) -Living allowance -Transportation ( nearest bus stop) -Medical benefits as per pol,Highlights:International standards (ISO 9001-2015) -Fun working environments -CSR and Birthdays,Career Opportunities: Training privided -Learn new skills  -Excellent career map,11 Feb 2025,https://www.jobnet.com.mm/job/sr-hr-staff-parami-hospital/110702,1
Opera PMS & Micros POS Support,"Infotel Myanmar Co.,Ltd","IT Hardware, Software",Yangon.,Benefits: •	Negotiable based on experience •	Overtime Payment •	Project Allowance,"Highlights:•	Join an experience team. •	Schedule: Mon to Fri, may require on-call support","Career Opportunities: •	Travel opportunities, training, and career Development",10 Feb 2025,https://www.jobnet.com.mm/job/opera-pms-and-micros-pos-support-infotel-myanmar-co-ltd/110694,1
Sales Executive (Chemicals Raw Materials),"Chemist Warehouse Co.,Ltd","Sales, Business Development",Yangon.,"Benefits: Monthly Sales Incentive, Annual Bonus, Annual Trip,  Staff Party Dinner ATOM B2B Simcard(No need to fill Bill), Ferry (Pickup Point), Lunch(Rice).",Highlights:- Internal/External Training - Fun Working Environment -  Make Different,Career Opportunities: - Promotion Opportunities. - Learn new Skills on the job. - Training Provide. - Management Potential.,10 Feb 2025,https://www.jobnet.com.mm/job/sales-executive-chemicals-raw-materials-chemist-warehouse-co-ltd/110692,1
Network Performance Analyst,Apollo Towers Myanmar Limited,"Engineering, Technical, HSE",Yangon.,Benefits: *Rewards for over performance,Highlights:*Join an experience team,Career Opportunities: *Promotion Opportunities *Learn new skills on job,10 Feb 2025,https://www.jobnet.com.mm/job/network-performance-analyst-apollo-towers-myanmar-limited/110657,1
Senior QS Site Engineer (4Month Contract),"Hafary Myanmar-Leading Tile Supplier, Singapore","Engineering, Technical, HSE",Yangon.,Benefits: Reward on performance Ferry for transportation,Highlights:International standard  Positive environment,Career Opportunities: Permanent staff potential,07 Feb 2025,https://www.jobnet.com.mm/job/senior-qs-site-engineer-4month-contract-hafary-myanmar-leading-tile-supplier-singapore/110609,1
MEP Design Manager,MARGA GROUP,"Engineering, Technical, HSE",Yangon.,Benefits: Attractive Salary Package OT Allowance Health and Life Insurance,Highlights:International Working Standard,Career Opportunities: Learn New Skills,07 Feb 2025,https://www.jobnet.com.mm/job/mep-design-manager-marga-group/109328,1
Brand Executive (FMCG),Capital Diamond Star Group (CDSG),"Marketing, Media, Creative",Yangon.,Benefits: Benefits will be provided according to company policy.,Highlights:An awesome company,Career Opportunities: Possibility for job training,07 Feb 2025,https://www.jobnet.com.mm/job/brand-executive-fmcg-capital-diamond-star-group-cdsg/110605,1
Compensation & Benefit Specialist,ARO Commercial Company Limited,"HR, Training and Recruitment",Yangon.,"Benefits: Ferry Provided ( Limited Area)  Saturday, Sunday and Public Holidays are  Off",Highlights:International Standards,Career Opportunities: Learn New Skills on the job,07 Feb 2025,https://www.jobnet.com.mm/job/compensation-and-benefit-specialist-aro-commercial-company-limited/110588,1
HR Executive (Recruitment & Training),K.T.Z Company Limited,"HR, Training and Recruitment",Yangon.,Benefits: Incentive Bonus Other Benefits,Highlights:Make a difference,Career Opportunities: Promotion Opportunities,07 Feb 2025,https://www.jobnet.com.mm/job/hr-executive-recruitment-and-training-ktz-company-limited/110583,1
Sales Admin,JobNet Myanmar (HR),"Sales, Business Development",Yangon.,Benefits: Rewards for over performance,Highlights:An awesome company,Career Opportunities: Possibility for job training,04 Feb 2025,https://www.jobnet.com.mm/job/sales-admin-jobnet-myanmar-hr/101269,1
Senior Accountant,"Petrol Star Co.,Ltd","Finance, Accounting, Audit",Yangon.,Benefits: *Training,Highlights:Join a winning team,Career Opportunities: Possibility for job training,03 Feb 2025,https://www.jobnet.com.mm/job/senior-accountant-petrol-star-co-ltd/110392,1
Inhouse Software & Report Development Unit Officer,SATHAPANA Limited Myanmar,"IT Hardware, Software",Yangon.,Benefits: Medical Benefit and other comprehensive benefits package Opportunity for professional growth and development Vibrant and inclusive workplace culture,Highlights:Fun Working Environment Join an experienced team International Standards,Career Opportunities: Learn New Skills on Job Promotion Opportunities Training provided,02 Feb 2025,https://www.jobnet.com.mm/job/inhouse-software-and-report-development-unit-officer-sathapana-limited-myanmar/110365,1
Sales Executive (Alote Team),JobNet Myanmar (HR),"Sales, Business Development",Yangon.,Benefits: Rewards for over performance,Highlights:Fun working environment International Standards,Career Opportunities: Training provided Learn new skills on the job,31 Jan 2025,https://www.jobnet.com.mm/job/sales-executive-alote-team-jobnet-myanmar-hr/110345,1
Quality Assurance Executive (Operations),Dai-ichi Life Insurance Myanmar Ltd.,"Project, Operations Management",Yangon.,Benefits: - Rewards on performance,Highlights:- An awesome company - Join a winning team - You can make a difference,Career Opportunities: - Opportunities for promotion - Learn new skills and techniques,31 Jan 2025,https://www.jobnet.com.mm/job/quality-assurance-executive-operations-dai-ichi-life-insurance-myanmar-ltd/110337,1
Architect,Ayeyar Hinthar Holdings Company Limited,"Architecture, Design",Yangon.,"Benefits: Saturday, Sunday, and Gazette Holidays Off Medical Insurance, Lunch Subsidized Ferry Provided (Depending on ferry way)  Annual Bonus",Highlights:Join a winning team,Career Opportunities: Possibility for job training,31 Jan 2025,https://www.jobnet.com.mm/job/architect-ayeyar-hinthar-holdings-company-limited/109673,1
Multimedia Designer (MPRL E&P),MPRL E&P Group of Companies,"Marketing, Media, Creative",Yangon.,Benefits: Uniform + Ferry + Lunch,Highlights:You can make a difference,Career Opportunities: Opportunities for promotion,30 Jan 2025,https://www.jobnet.com.mm/job/multimedia-designer-mprl-eandp-mprl-eandp-group-of-companies/110305,1
Senior Core Banking & Database Administrator,SATHAPANA Limited Myanmar,"IT Hardware, Software",Yangon.,Benefits: Medical Benefit & other comprehensive benefits package Opportunities for professional growth and development Vibrant and inclusive workplace culture,Highlights:Fun Working Environment Join an experienced team International Standards,Career Opportunities: Learn New Skills on Job Promotion Opportunities Training provided,30 Jan 2025,https://www.jobnet.com.mm/job/senior-core-banking-and-database-administrator-sathapana-limited-myanmar/110300,1
Learning & Development Manager (HR-Training),SATHAPANA Limited Myanmar,"HR, Training and Recruitment",Yangon.,Benefits: Medical Benefit & other comprehensive benefits package Opportunities for professional growth and development Vibrant and inclusive workplace culture,Highlights:Fun Working Environment Join an experienced team International Standards,Career Opportunities: Learn New Skills on Job Promotion Opportunities Training provided,30 Jan 2025,https://www.jobnet.com.mm/job/learning-and-development-manager-hr-training-sathapana-limited-myanmar/110299,1
Marketing Manager,"Pyae Sone Manufacturing & Trading Co.,Ltd","Marketing, Media, Creative",Yangon.,"Benefits: . Bonus . Meal or Travel allowance . Rewards for over performance . Sunday,Public Holiday . Ferry Provided",Highlights:An awesome company,Career Opportunities: Opportunities for promotion,29 Jan 2025,https://www.jobnet.com.mm/job/marketing-manager-pyae-sone-manufacturing-and-trading-co-ltd/110245,1
Senior Marketing Specialist (Chinese Proficiency),Wave Money,"Marketing, Media, Creative",Yangon.,Benefits: - Medical & Life Insurance  - Corporate SIM - Ferry,Highlights:- Myanmar's First Mobile Financial Services Provider - International Working Environment,Career Opportunities: - Growing organization - Develop your career,24 Jan 2025,https://www.jobnet.com.mm/job/senior-marketing-specialist-chinese-proficiency-wave-money/110108,1
Odoo Support,KM Terminal and Logistics Limited,"IT Hardware, Software",Yangon.,Benefits: Provide allowance as per company policies,Highlights:Join a winning team,Career Opportunities: Learn new skills and techniques,24 Jan 2025,https://www.jobnet.com.mm/job/odoo-support-km-terminal-and-logistics-limited/109347,1
